,Gender,TypeofDisability,castecategory,Religion,Candidate State,Candidate District,PartnerName,TC State,TC District,TC Constituency,TC Name,SectorName,JobRole,TotalCandidatesinBatch,agegroup,EducationLevel,placed
20119,2,1,3,1,18,216,59,18,336,206,746,9,35,1,3,3,
46541,1,1,3,3,3,78,1369,3,76,6,4235,3,9,1,4,3,
9045,1,1,3,7,3,78,345,15,46,45,3808,1,1,1,7,2,
88734,1,1,1,3,16,164,51,16,50,49,53,5,77,1,3,3,
67784,1,1,1,3,8,300,11,8,301,89,483,27,126,1,6,2,
141292,2,1,1,3,9,250,19,9,252,241,2176,3,9,1,4,5,
22631,2,1,1,3,21,517,87,21,501,450,1441,5,66,1,5,3,
110384,2,1,1,1,5,115,396,5,227,442,779,18,88,12,2,3,
139020,1,1,1,3,3,69,616,3,68,4,3575,15,32,1,2,2,
25867,2,1,1,3,6,8,33,6,8,8,4536,4,7,14,4,3,
44503,2,1,2,1,17,503,135,17,510,454,1488,9,21,1,3,3,
139973,1,1,1,3,16,261,89,16,431,395,2218,7,11,1,3,2,
24757,2,1,1,3,6,369,99,6,366,340,692,3,20,1,3,3,
9580,1,1,3,3,5,359,581,5,359,333,1309,3,9,1,3,3,
101927,2,1,3,3,5,56,567,5,103,191,3949,11,30,1,3,5,
79594,2,1,3,3,14,311,258,14,335,313,3137,22,57,1,3,4,
43503,2,6,3,3,12,23,1231,12,23,23,3709,13,6,1,3,3,
7973,1,1,3,5,12,172,132,12,57,58,171,3,9,1,2,3,
139764,2,1,1,3,8,407,397,8,301,89,4053,26,119,1,3,2,
58509,2,2,3,1,5,101,1813,5,190,334,5882,13,24,1,6,2,
78565,1,1,3,3,13,306,84,13,106,292,498,17,31,18,4,3,
144703,1,1,4,1,13,189,59,13,187,384,930,9,21,1,2,3,
768,2,1,4,1,23,194,38,22,191,185,313,6,41,1,2,3,
107283,1,1,3,5,1,14,14,1,14,123,424,6,41,3,4,5,
35139,1,1,1,3,3,4,63,3,4,4,4814,1,1,2,4,3,
84244,1,1,3,1,15,556,30,15,548,268,1831,17,72,1,2,2,
70042,2,1,3,1,3,41,49,3,41,41,51,9,13,1,2,3,
58541,2,1,1,3,1,65,54,1,64,114,4230,6,6,1,2,3,
106657,2,1,3,4,8,230,434,8,209,157,875,11,79,1,3,3,
18436,1,1,1,3,1,190,259,1,188,1,760,3,9,1,3,3,
29668,2,1,4,3,9,277,658,9,429,393,1591,11,79,1,3,3,
33806,1,1,3,3,8,16,397,8,16,16,6004,4,4,1,3,3,
144782,1,1,4,3,17,67,74,17,66,68,80,6,6,1,4,3,
87270,2,1,1,1,5,201,870,5,219,43,2291,12,17,1,3,3,
131667,1,1,3,3,21,491,99,21,483,432,1261,5,5,1,4,5,
135571,1,1,3,1,5,126,1173,5,412,119,3484,5,5,1,1,3,
1764,1,1,4,3,8,91,262,8,290,275,454,12,17,1,3,2,
77331,2,1,3,3,18,216,59,18,336,206,746,3,9,1,3,5,
137135,2,1,3,3,13,419,59,13,331,311,1076,15,139,1,3,2,
9459,2,1,3,3,13,176,26,13,176,481,2029,10,65,12,3,2,
9750,2,1,1,3,6,140,43,6,137,133,3968,5,5,1,3,5,
12349,2,1,1,3,1,114,136,1,111,108,2415,5,42,8,3,5,
85248,1,2,4,1,5,56,1003,5,103,100,3320,13,85,16,6,2,
90376,1,1,4,3,8,206,673,8,203,196,1647,7,11,1,3,2,
52073,1,1,4,3,22,155,1,25,153,148,200,5,42,1,3,5,
109122,2,1,3,3,15,263,232,15,221,214,2826,3,20,1,7,3,
86764,2,1,1,3,22,138,54,25,135,130,175,3,9,1,3,2,
22743,2,1,3,7,15,96,590,15,93,45,5620,3,19,6,3,3,
123852,1,1,1,3,16,164,1819,16,354,329,5908,17,96,14,2,5,
77064,1,1,3,3,18,216,59,18,336,206,746,7,10,1,5,5,
94439,1,1,1,3,3,158,43,3,280,41,432,11,30,1,3,2,
146294,1,1,1,1,19,297,701,19,296,93,2748,29,98,1,2,2,
80643,2,1,3,3,13,414,59,13,410,379,882,9,35,1,4,3,
57478,2,1,3,4,11,440,59,11,433,397,1043,3,20,1,2,3,
10465,2,1,3,3,11,583,64,11,575,498,2108,19,115,1,3,3,
141093,1,1,1,3,23,460,602,22,454,413,6032,1,8,1,6,3,
22652,2,1,1,1,6,25,87,6,25,50,491,3,19,1,5,6,
16999,1,1,1,3,4,430,377,4,421,489,5073,4,4,1,6,3,
136588,1,1,1,4,6,140,75,6,137,246,1262,9,43,1,2,2,
147708,1,1,1,3,8,387,34,8,380,354,748,11,16,1,4,5,
129070,2,1,3,3,4,456,691,4,505,486,1894,3,19,2,3,4,
89356,1,1,3,7,15,105,619,15,100,98,6030,27,126,1,4,2,
7919,2,1,4,3,3,124,49,3,120,230,2688,5,48,1,6,2,
38433,1,1,3,1,3,158,87,3,276,35,658,5,48,1,3,2,
447,2,1,4,3,8,205,34,8,269,258,417,4,7,1,5,3,
5063,1,1,1,3,23,555,45,22,547,494,2745,10,50,2,6,2,
60944,2,1,1,3,5,358,495,5,358,363,6355,4,7,1,3,3,
26202,2,1,3,3,15,195,489,15,192,186,1045,6,6,1,3,3,
146520,2,1,1,4,21,63,393,21,62,63,3420,4,4,1,4,2,
70480,1,1,4,1,19,60,65,19,60,61,70,3,9,9,2,3,
114396,1,1,3,1,22,225,19,25,225,146,1976,1,59,1,5,3,
94919,2,1,3,7,15,344,362,15,223,216,701,23,63,1,6,3,
106953,2,1,1,3,8,595,34,8,587,36,2315,12,17,6,4,2,
34305,2,1,1,3,6,17,343,6,17,17,4376,10,116,1,2,3,
132047,2,1,2,2,2,329,696,2,655,2,4474,4,4,1,3,3,
6796,2,1,1,1,11,583,64,11,575,498,2108,9,35,1,2,3,
11256,2,1,4,3,5,346,1324,5,344,321,4065,3,45,1,3,3,
143633,2,1,3,3,5,180,45,5,402,371,955,12,17,1,3,3,
89013,1,1,4,3,21,522,260,21,521,462,4037,3,9,1,3,3,
133310,1,1,4,3,4,514,515,4,352,328,4429,2,34,1,5,2,
9692,1,1,3,3,24,476,542,23,468,420,1201,1,1,1,4,3,
70434,1,1,3,3,20,434,200,20,238,107,2220,1,1,1,3,2,
112477,1,1,4,3,5,294,23,5,279,266,2343,9,13,1,3,3,
130311,2,1,1,1,5,226,59,5,227,218,330,2,2,1,2,3,
10682,2,1,3,1,14,241,54,14,243,233,357,12,17,1,1,2,
121057,1,1,1,3,5,126,447,5,122,119,918,9,36,1,3,3,
144848,2,1,3,3,6,8,10,6,137,133,3181,3,9,1,2,4,
3040,1,1,3,5,20,116,19,20,113,110,142,2,123,4,5,3,
84109,2,2,3,1,6,83,442,6,81,192,4939,13,6,1,6,5,
107245,1,1,3,1,20,301,460,20,302,62,1991,9,76,1,3,5,
40373,1,1,3,4,4,273,251,4,273,264,419,10,25,1,5,2,
75916,2,2,1,3,5,377,293,5,373,443,551,13,36,1,2,2,
64580,1,1,1,3,14,200,725,14,196,438,4437,1,1,1,3,3,
46725,2,1,3,5,18,441,1582,18,213,206,6813,12,212,1,5,2,
17166,2,1,1,3,9,392,59,9,388,358,767,14,27,1,3,3,
100701,1,1,3,3,5,71,126,5,70,71,3807,3,45,2,3,3,
34703,2,1,3,3,4,132,346,4,129,125,662,3,20,1,3,5,
108797,2,1,1,1,8,418,87,8,556,143,2430,14,27,2,2,3,
98662,2,1,1,3,5,346,341,5,344,321,5636,9,13,1,4,2,
